WTAX_Rate_ID,Fix_Tax_Amount,Tax_Rate_On_Excess,Start_Range,End_Range
1,0.0,0.0,0.0,10416.99
2,0.0,0.15,10417.0,16666.99
3,937.5,0.2,16667.0,33332.99
4,4270.7,0.25,33333.0,83332.99
5,16770.7,0.3,83333.0,333332.99
6,91770.7,0.35,333333.0,1000000.0
